PARCELA_ID,PLODINA_AK,ANOTHER
"593625",Ječmen jarní,38.26
"561939",Pšenice setá ozimá,10
"561947",Řepka ozimá,94.03
"561978",Pšenice setá ozimá,11.17
"562262",Řepka ozimá,8.97
"562960",Ječmen jarní,2.06
"562239",Kukuřice na siláž,41.46
"561953",Řepka ozimá,28.83
"550408",Trvalý travní porost,3.99
"600158",Pšenice setá ozimá,9.08
"562351",Řepka ozimá,9.99
"562361",Řepka ozimá,20.09
"562301",Ječmen jarní,35.98
"275109",Ječmen jarní,2.91
"562373",Kukuřice na zrno,2.18
"275416",Kukuřice na zrno,16.98
"593629",Ječmen jarní,49.04
"561948",Ječmen jarní,52.89
"562374",Kukuřice na zrno,3.4
"562352",Řepka ozimá,13.16
"562299",Řepka ozimá,48.11
"292525",Řepka ozimá,79.29
"286553",Řepka ozimá,20.16
"562340",Ječmen jarní,0.22
"562295",Ječmen jarní,3.88
"562359",Řepka ozimá,8.39
"562362",Pšenice setá ozimá,14.22
"562279",Trávy s leguminozami,0.29
"606189",Řepka ozimá,0.45
"274493",Trvalý travní porost,5.42
"562078",Sója,21.67
"561982",Pšenice setá ozimá,0.56
"582386",Pšenice setá ozimá,2.19
"275342",Pšenice setá ozimá,40.97
"583258",Ječmen jarní,34.47
"562348",Ječmen jarní,5.24
"275370",Ječmen jarní,42.51
"541784",Trvalý travní porost,1.97
"561976",Pšenice setá ozimá,16.03
"562270",Kukuřice na zrno,0.39
"582298",Řepka ozimá,27.4
"562278",Ječmen jarní,0.21
"561966",Ječmen jarní,15.84
"561868",Pšenice setá ozimá,35.8
"561865",Pšenice setá ozimá,5.21
"561906",Řepka ozimá,25.7
"562255",Řepka ozimá,20.5
"582300",Řepka ozimá,25.9
"561941",Pšenice tvrdá ozimá,4.22
"561926",Ječmen jarní,7.41
"561885",Ječmen jarní,33.53
"562466",Pšenice setá ozimá,25.57
"582390",Ječmen jarní,41.44
"562272",Kukuřice na zrno,0.32
"275423",Kukuřice na zrno,25.13
"562331",Ječmen jarní,0.44
"292528",Pšenice setá ozimá,6.98
"562031",Ječmen jarní,2.74
"562287",Řepka ozimá,9.26
"275355",Kukuřice na zrno,0.73
"562080",Peluška jarní,37.07
"562327",Ječmen jarní,19.42
"562337",Ječmen jarní,0.15
"561928",Ječmen jarní,35.26
"562291",Řepka ozimá,2.69
"562294",Řepka ozimá,0.8
"562292",Řepka ozimá,1.06
"600151",Ječmen jarní,25.24
"582305",Řepka ozimá,6.94
"562289",Řepka ozimá,11.81
"582385",Pšenice setá ozimá,16.13
"274614",Dočasný travní porost,4.45
"286559",Pšenice setá ozimá,12.27
"562275",Kukuřice na zrno,0.51
"561866",Řepka ozimá,40.03
"562267",Kukuřice na zrno,0.3
"562296",Řepka ozimá,1.32
"562311",Ječmen jarní,6.18
"588169",Dočasný travní porost,0.86
"600056",Ječmen jarní,12.38
"562343",Řepka ozimá,8.91
"275343",Ječmen jarní,45.82
"561920",Kukuřice na zrno,13.4
"561893",Ječmen jarní,5.26
"275385",Ječmen jarní,9.46
"562326",Ječmen jarní,9.67
"561432",Ječmen jarní,47.09
"602645",Pšenice setá ozimá,63.78
"562360",Pšenice setá ozimá,75.43
"562330",Ječmen jarní,1.33
"582377",Řepka ozimá,2.37
"562030",Pšenice setá ozimá,47.26
"600057",Ječmen jarní,0.67
"562306",Ječmen jarní,5.01
"275375",Ječmen jarní,0.81
"286573",Ječmen jarní,12.4
"561887",Ječmen jarní,11.42
"562268",Ječmen jarní,2.52
"286555",Řepka ozimá,14.62
"275315",Řepka ozimá,5.25
"562315",Řepka ozimá,6.94
"561873",Řepka ozimá,31.87
"562276",Ječmen jarní,0.51
"274515",Sója,12.01
"275428",Ječmen jarní,7.04
"582376",Řepka ozimá,3.21
"562300",Řepka ozimá,9.52
"582387",Pšenice setá ozimá,9.75
"562369",Trávy pro ochranné pásy,1.06
"562257",Řepka ozimá,34.08
"561874",Ječmen jarní,0.73
"562464",Trvalý travní porost,0.52
"562261",Řepka ozimá,31.41
"275418",Kukuřice na zrno,7.44
"561943",Řepka ozimá,2.88
"562256",Ječmen jarní,44.56
"561959",Kukuřice na zrno,24.02
"561944",Řepka ozimá,12.43
"600162",Ječmen ozimý dvouřadý,61.15
"562251",Ječmen jarní,2.13
"562372",Kukuřice na zrno,20.38
"562297",Ječmen jarní,53.6
"562277",Kukuřice na zrno,4.29
"562247",Ječmen jarní,5.34
"561872",Řepka ozimá,43.31
"275327",Pšenice setá ozimá,7.89
"562363",Pšenice setá ozimá,1.23
"562345",Ječmen jarní,2.31
"561927",Ječmen jarní,7.18
"549761",Sója,15.02
"561949",Ječmen jarní,30.8
"562304",Ječmen jarní,11.99
"562358",Kukuřice na zrno,18.38
"562310",Ječmen jarní,22.26
"275407",Pšenice setá ozimá,8.61
"582381",Ječmen ozimý dvouřadý,29.9
"561973",Kukuřice na zrno,4.32
"275429",Ječmen jarní,16.92
"562367",Ječmen jarní,0.8
"275322",Pšenice setá ozimá,50.42
"561862",Pšenice setá ozimá,4.04
"562288",Řepka ozimá,8.33
"562314",Řepka ozimá,15.47
"557345",Ječmen jarní,34.02
"561861",Ječmen jarní,16.49
"562284",Ječmen jarní,5.98
"561913",Kukuřice na zrno,11.82
"562271",Kukuřice na zrno,3.37
"561930",Ječmen jarní,6.58
"561884",Řepka ozimá,77.16
"561968",Ječmen jarní,24.43
"600175",Trvalý travní porost,1.78
"562356",Řepka ozimá,10.23
"561956",Ječmen jarní,42.6
"561923",Kukuřice na zrno,4.3
"561925",Kukuřice na zrno,32.44
"562020",Kukuřice na zrno,6.17
"583177",Pšenice setá ozimá,30.47
"561971",Řepka ozimá,46.53
"562273",Kukuřice na zrno,16.52
"561945",Ječmen jarní,7.03
"561955",Ječmen jarní,22.42
"562290",Řepka ozimá,12.68
